"Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog","Karachentsev Revised Flat Galaxy Catalog"
pgc,RFGC,objname,opgc,l,b,PA,MajDiamO,MinDiamO,MajDiamE,MinDiamE,Bt,AgB,morph,Asym,SB,Nneigh,Note,al2000,de2000
%7s,%4d,%6s,%5d,%6.2f,%6.2f,%3d,%4.2f,%4.2f,%4.2f,%4.2f,%4.1f,%4.2f,%3s,%1d,%3s,%2d,%31s,%20.15f,%20.15f
---,0.001,,0.001,deg,deg,deg,arcmin,arcmin,arcmin,arcmin,mag,mag,0.001,,0.001,,0.001,h,dec
"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
70,1,2565,70,107.18,-40.98,110,2.02,0.17,1.93,0.18,15.5,0.26,c,1,II,1,0.001,0.015583333333300,20.338055555600000
94,6,2563,94,120.84,17.97,52,1.32,0.13,1.30,0.13,16.0,0.90,d,1,II,0,0.001,0.034527777777800,80.642222222200000
106,2,2566,106,70.78,-74.81,75,0.99,0.12,0.99,0.12,16.4,0.10,c,0,II,1,0.001,0.023111111111100,-17.278055555600000
124,4,2567,124,99.59,-57.09,3,1.34,0.17,1.23,0.19,16.0,0.09,bc,0,III,0,0.001,0.026888888888900,3.504722222220000
165,12,2573,165,109.70,-34.40,48,1.68,0.19,1.37,0.21,15.7,0.20,bc,1,II,2,0.001,0.039805555555600,27.210555555600000
379,20,4E,379,348.05,-76.84,59,1.31,0.16,1.36,0.17,15.9,0.06,bc,1,II,4,"Curved ends",0.091027777777800,-35.943055555600000
