"Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000","Tully 3000"
pgc,IntID,GrpID,objname,l,b,T,Vhel,V_GSR,Mod_NAM,Mod_Q,E_BV,AgB,BAratioB,NsrcBA,Bt,magRt,NsrcRt,magIt,NsrcIt,magH,NsrcH,Vh21,W20,MQC,HIQC,Mod_HI,e_Mod_HI,Swgth,Mod_fgc,Btc,Lc,elg,bg,redlcg,ivhg,ivgg,ivlsg,ivcmbg,dmg,sigwtg,ntfg,dmtfg,etfg,wtfg,nfg,dmfg,efg,nqg,dmqg,eqg
%7s,%7d,%9s,%8s,%6.2f,%6.2f,%5d,%7d,%7d,%5.2f,%5.2f,%5.3f,%5.2f,%4.2f,%4d,%5.2f,%5.2f,%4d,%5.2f,%4d,%5.2f,%4d,%7d,%6d,%1d,%1d,%5.2f,%4.2f,%3.1f,%5.2f,%5.2f,%5.2f,%6.2f,%6.2f,%5.2f,%7d,%7d,%7d,%7d,%5.2f,%4.2f,%5d,%5.2f,%4.2f,%4.1f,%5d,%5.2f,%4.2f,%5d,%5.2f,%4.2f
---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
143,222,"14-12 12",2359-15,75.70,-73.60,10,-124,-67,24.76,24.89,0.036,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.83,-2.14,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
181,1028,"55 -5  5",0000-80,305.46,-36.55,9,1953,1801,31.70,0.00,0.094,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.37,-3.09,305.40,-35.65,-2.54,1933,1779,1715,1922,32.55,0.41,1,32.55,0.41,1.0,0,0.00,0.00,0,0.00,0.00
218,1211,"65 -6  6","N 7814",106.42,-45.18,2,1047,1197,30.71,30.60,0.045,0.10,0.19,1,11.72,10.01,1,9.40,1,0.001,0.001,1204,521,3,2,31.29,0.07,2.5,0.001,10.92,-2.17,106.96,-45.34,-2.03,992,1141,1216,636,30.69,0.16,1,31.29,0.37,1.3,0,0.00,0.00,1,30.60,0.17
255,1211,"65 -6  6","U   17",106.21,-46.09,9,881,1029,30.71,0.00,0.049,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.04,-3.82,106.96,-45.34,-2.03,992,1141,1216,636,30.69,0.16,1,31.29,0.37,1.3,0,0.00,0.00,1,30.60,0.17
279,1178,"64 -8  8","N 7817",108.23,-40.75,4,2316,2476,32.47,0.00,0.058,0.14,0.27,3,0.001,0.001,0.001,10.60,3,9.25,1,2468,432,3,2,32.10,0.01,1.5,32.01,11.70,-2.28,105.16,-40.17,-2.09,2299,2464,2543,1949,32.28,0.24,1,32.10,0.39,1.1,2,32.39,0.30,0,0.00,0.00
474,1088,"61  0 16",0003-41,332.83,-72.92,6,1542,1507,31.19,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.60,12.49,-2.77,332.47,-73.01,-2.70,1531,1495,1489,1293,31.89,0.29,1,32.17,0.41,1.0,1,31.60,0.41,0,0.00,0.00
621,233,"14-13 13",0005-34,351.54,-78.11,10,207,195,27.70,27.48,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-3.12,92.44,-86.05,-0.59,224,233,254,-67,27.87,0.12,3,27.70,0.22,3.9,0,0.00,0.00,8,27.89,0.12
627,1096,"61-18 18","N    7",14.00,-80.14,4,1496,1500,31.19,0.00,0.014,0.02,0.21,1,0.001,0.001,0.001,12.83,1,0.001,0.001,1500,212,3,3,31.81,0.00,1.0,0.001,13.19,-3.05,341.12,-82.50,-1.81,1579,1563,1570,1312,31.58,0.24,3,31.58,0.24,3.3,0,0.00,0.00,0,0.00,0.00
647,1211,"65 -6  6","N   14",108.13,-45.83,10,860,1007,30.71,0.00,0.078,0.13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.10,-2.64,106.96,-45.34,-2.03,992,1141,1216,636,30.69,0.16,1,31.29,0.37,1.3,0,0.00,0.00,1,30.60,0.17
701,355,"19 -8  7","N   24",43.65,-80.44,5,561,582,28.80,0.00,0.019,0.06,0.26,2,12.03,11.05,1,10.56,2,9.75,1,574,223,1,2,29.79,0.07,3.0,0.001,11.40,-2.37,50.80,-80.56,-1.99,508,532,554,202,28.61,0.16,1,29.79,0.36,1.3,0,0.00,0.00,1,28.42,0.17
721,1108,"61  0  0",0007-18,73.84,-77.03,10,1546,1590,31.33,0.00,0.031,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-3.08,73.84,-77.03,-3.08,1546,1590,1621,1223,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
757,1176,"64  7  7","U   99",108.05,-48.00,9,1744,1885,31.82,0.00,0.068,0.16,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.49,-2.71,108.05,-48.00,-2.71,1744,1885,1957,1389,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
