             RA            DEC        r_k20fe      j_m_k20fe      k_m_k20fe           k_ba           k_pa
              E              E              E              E              E              E              E
                                                                                                         
   1.581590E+00   2.020294E+01   1.510000E+01   1.204800E+01   1.006300E+01   1.000000E+00  -3.000000E+01**
   9.421280E+00  -3.371633E+01   1.130000E+01   1.368400E+01   1.277200E+01   1.000000E+00  -5.950000E+01**
   3.616923E+01  -1.914203E+01   2.170000E+01   1.153500E+01   1.051100E+01   8.200000E-01   0.000000E+00**
   4.421523E+01   5.891156E+01   7.750000E+01   1.097700E+01   9.453000E+00   4.000000E-01  -6.300000E+01
   6.909293E+01  -1.037630E+01   1.810000E+01   1.199900E+01   1.046700E+01   5.800000E-01  -2.500000E+00
   1.112565E+02  -3.249903E+01   5.590000E+01   1.131300E+01   1.022400E+01   2.000000E-01   7.800000E+01
   1.125339E+02  -2.201836E+01   7.130000E+01   1.133500E+01   9.826000E+00   4.000000E-01   2.250000E+01
   1.168919E+02  -4.145214E+01   9.570000E+01   8.993000E+00   7.941000E+00   2.400000E-01   1.650000E+01
   1.169669E+02  -1.874900E+01   8.100000E+01   1.009100E+01   8.900000E+00   2.200000E-01  -3.900000E+01
   1.215462E+02  -2.752841E+01   1.017000E+02   9.308000E+00   8.259000E+00   5.700000E-01  -3.000000E+01
   1.237486E+02  -3.086699E+01   9.640000E+01   8.198000E+00   7.231000E+00   7.500000E-01  -1.250000E+01
   1.253227E+02  -2.577506E+01   3.230000E+01   1.289400E+01   1.164900E+01   4.380000E-01   4.650000E+01
   1.336354E+02  -3.293748E+01   6.590000E+01   9.761000E+00   8.712000E+00   4.400000E-01   6.450000E+01
   1.343692E+02  -3.926845E+01   8.050000E+01   8.543000E+00   7.368000E+00   8.800000E-01   1.500000E+01
   1.407544E+02  -3.244976E+01   1.310000E+02   8.461000E+00   7.415000E+00   3.000000E-01   3.350000E+01
   1.447228E+02  -4.848700E+00   3.020000E+01   1.072900E+01   9.746000E+00   6.900000E-01  -7.500000E+00
   1.447234E+02  -4.860160E+00   3.550000E+01   1.149800E+01   1.033900E+01   2.200000E-01  -6.000000E+01
   1.447290E+02  -4.865920E+00   1.980000E+01   1.171400E+01   1.072400E+01   8.400000E-01   3.000000E+01
   1.447304E+02  -4.857910E+00   2.220000E+01   1.322500E+01   1.218200E+01   3.500000E-01   5.750000E+01
   1.447323E+02  -4.837070E+00   2.040000E+01   1.195200E+01   1.093200E+01   4.200000E-01   6.750000E+01
   1.473253E+02   1.687912E+01   5.000000E+00   1.498900E+01   1.416800E+01   1.000000E+00   2.500000E+01
   1.480799E+02  -1.612250E+00   1.010000E+01   1.187200E+01   9.603000E+00   1.000000E+00  -1.500000E+01
   1.940597E+02   5.687345E+01   1.820000E+01   1.108000E+01   8.860000E+00   8.300000E-01   2.500000E+01
   1.942844E+02  -3.251276E+01   3.040000E+01   1.075100E+01   9.816000E+00   7.900000E-01  -5.150000E+01
   2.039742E+02  -3.429575E+01   2.210000E+01   1.101800E+01   9.711000E+00   4.800000E-01  -6.900000E+01
   2.043281E+02   2.438416E+01   6.800000E+00   1.270400E+01   1.045500E+01   1.000000E+00  -3.000000E+01
   2.067046E+02  -6.040831E+01   4.980000E+01   1.086900E+01   8.719000E+00   8.000000E-01  -1.250000E+01
   2.087682E+02  -2.678068E+01   4.910000E+01   1.018200E+01   9.010000E+00   4.800000E-01  -5.750000E+01
   2.120989E+02  -4.797081E+01   7.370000E+01   8.579000E+00   7.615000E+00   5.900000E-01   1.000000E+00
   2.125184E+02   1.773379E+01   5.110000E+01   1.062000E+01   9.654000E+00   6.700000E-01  -7.000000E+01
   2.286428E+02  -5.298938E+01   1.055000E+02   8.598000E+00   7.239000E+00   3.500000E-01  -1.800000E+01
   2.318960E+02  -6.417095E+01   6.800000E+01   9.717000E+00   8.684000E+00   5.400000E-01   1.175000E+02
   2.337386E+02   2.350291E+01   2.250000E+01   1.121000E+01   9.957000E+00   1.000000E+00  -1.000000E+01
   2.451852E+02  -7.014260E+01   7.360000E+01   1.015200E+01   8.899000E+00   1.800000E-01   6.250000E+01
   2.472773E+02  -6.164428E+01   2.640000E+01   1.080800E+01   9.794000E+00   5.500000E-01  -9.500000E+00
   2.488088E+02  -5.808003E+01   5.600000E+01   9.345000E+00   8.362000E+00   9.700000E-01  -7.500000E+00
   2.541870E+02  -6.240311E+01   2.700000E+01   1.148100E+01   1.055800E+01   3.700000E-01   4.600000E+01
   2.622903E+02  -6.244574E+01   6.580000E+01   1.002000E+01   9.043000E+00   8.000000E-01   4.750000E+01
   2.896555E+02  -6.049646E+01   4.490000E+01   9.990000E+00   9.051000E+00   9.400000E-01  -1.000000E+01
   3.169412E+02   3.877640E+00   6.300000E+00   1.279800E+01   1.168300E+01   1.000000E+00  -2.500000E+01
   3.359567E+02  -2.103810E+00   6.300000E+00   1.329400E+01   1.108200E+01   1.000000E+00   1.250000E+01
   3.476332E+02   6.766085E+01   3.530000E+01   1.098100E+01   9.387000E+00   4.700000E-01   8.000000E+01
   3.533186E+02  -4.501596E+01   5.970000E+01   9.325000E+00   8.439000E+00   6.600000E-01   3.750000E+01
