           RA_1          DEC_1      r_k20fe_1      h_m_k20fe         k_ba_1         k_pa_1     distance_1         Separation_1             RA            DEC     distance_2          H_mag
              E              E              E              E              E              E              E                    D              E              E              E              E
                                                                                                                        arcsec                                                            
   4.917500E-01  -1.546772E+01   5.000000E+00   1.565900E+01   1.000000E+00   2.950000E+01   1.000000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   8.122800E-01   1.614523E+01   1.023000E+02   7.482000E+00   5.000000E-01  -4.500000E+01   1.510000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.581590E+00   2.020294E+01   1.510000E+01   1.105400E+01   1.000000E+00  -3.000000E+01   1.159500E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.485590E+00  -2.496313E+01   8.300000E+01   9.402000E+00   2.800000E-01   4.350000E+01   6.800000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.777550E+00  -1.210787E+01   1.720000E+01   1.054700E+01   9.600000E-01   2.750000E+01   8.100000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.516620E+00  -2.318209E+01   4.930000E+01   1.020700E+01   1.000000E+00  -6.800000E+01   5.900000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.627580E+00  -7.167400E+00   3.380000E+01   1.031500E+01   5.500000E-01   8.550000E+01   7.230000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.685830E+00  -7.345280E+00   5.260000E+01   9.052000E+00   7.000000E-01  -1.750000E+01   7.500000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.723340E+00  -3.919663E+01   2.735000E+02   6.817000E+00   3.000000E-01  -6.700000E+01   1.300000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.072230E+00   5.930379E+01   2.149000E+02   6.513000E+00   6.100000E-01  -4.800000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.011820E+00   1.648639E+01   5.810000E+01   1.098500E+01   1.800000E-01   5.350000E+01   1.250000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.692960E+00  -3.367724E+01   2.440000E+01   1.186700E+01   7.750000E-01  -4.300000E+01   2.450000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.591220E+00  -3.324535E+01   1.448000E+02   7.224000E+00   3.200000E-01   4.500000E+01   1.900000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   8.300500E+00   4.850874E+01   1.297000E+02   8.134000E+00   4.900000E-01   5.250000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   9.421280E+00  -3.371633E+01   1.130000E+01   1.303000E+01   1.000000E+00  -5.950000E+01   1.500000E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   9.741540E+00   4.833738E+01   1.452000E+02   7.123000E+00   8.700000E-01   5.250000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.009198E+01   4.168530E+01   2.820000E+02   6.149000E+00   6.200000E-01  -2.500000E+00   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.014592E+01  -1.387280E+01   5.410000E+01   8.724000E+00   5.200000E-01  -7.500000E+00   2.030000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.067427E+01   4.086517E+01   1.474000E+02   5.392000E+00   8.700000E-01  -1.500000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.068471E+01   4.126875E+01   1.614700E+03   1.331000E+00   5.610000E-01   4.500000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.069110E+01  -2.356160E+01   2.180000E+01   1.033400E+01   8.000000E-01   1.000000E+01   9.267300E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.178564E+01  -2.076040E+01   1.417000E+02   8.407000E+00   5.500000E-01   1.500000E+00   2.100000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.188806E+01  -2.528880E+01   6.302000E+02   4.143000E+00   2.400000E-01   5.100000E+01   3.000000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.275776E+01  -7.056930E+00   3.060000E+01   9.587000E+00   1.000000E+00   6.250000E+01   2.190000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.276885E+01  -7.065640E+00   3.180000E+01   1.039400E+01   8.000000E-01   1.175000E+02   2.190000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.317652E+01  -3.120583E+01   6.580000E+01   8.375000E+00   6.900000E-01  -2.500000E+01   1.940000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.339565E+01   1.269313E+01   1.260000E+01   1.118500E+01   1.000000E+00  -3.000000E+01   2.400000E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.372283E+01  -3.768438E+01   1.994000E+02   7.245000E+00   6.200000E-01  -8.150000E+01   1.200000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.417781E+01  -9.914070E+00   4.560000E+01   9.866000E+00   9.900000E-01  -3.000000E+01   4.155000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.495871E+01  -7.577960E+00   5.240000E+01   9.560000E+00   5.600000E-01  -2.250000E+01   2.070000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.571465E+01  -6.561015E+01   9.760000E+01   9.460000E+00   1.600000E-01  -3.600000E+01   3.174000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.620165E+01   2.119610E+00   6.900000E+00   1.373900E+01   1.000000E+00   1.000000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   1.736280E+01   3.571796E+01   6.890000E+01   7.890000E+00   1.000000E+00  -2.750000E+01   2.400000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.002790E+01   3.415270E+00   4.610000E+01   9.062000E+00   9.900000E-01   4.500000E+01   3.250000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.044520E+01   5.256720E+00   1.078000E+02   7.284000E+00   8.100000E-01   5.000000E+00   2.930000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
