#RA  DEC  r_k20fe j_m_k20fe k_m_k20fe   k_ba   k_pa           Name   RVel   R
5.072230E+00  5.930379E+01 2.149000E+02 7.391000E+00 6.167000E+00 6.100000E-01 -4.800000E+01 U192    -3.450000E+02 7.000000E-01
1.009198E+01  4.168530E+01 2.820000E+02 6.737000E+00 5.896000E+00 6.200000E-01 -2.500000E+00 N205    -2.420000E+02 7.000000E-01
1.067427E+01  4.086517E+01 1.474000E+02 6.306000E+00 5.139000E+00 8.700000E-01 -1.500000E+01 N221    -2.030000E+02 7.000000E-01
1.068471E+01  4.126875E+01 1.614700E+03 2.149000E+00 1.038000E+00 5.610000E-01  4.500000E+01 N224    -2.980000E+02 7.000000E-01
1.620165E+01  2.119610E+00 6.900000E+00 1.468600E+01 1.361400E+01 1.000000E+00  1.000000E+01 U668    -2.380000E+02 7.000000E-01
2.346210E+01  3.065994E+01 4.999000E+02 5.382000E+00 4.492000E+00 8.000000E-01  5.050000E+01 N598    -1.820000E+02 7.000000E-01
2.687454E+01  2.733335E+01 2.850000E+01 1.283500E+01 1.203900E+01 4.500000E-01 -2.250000E+01 U1249    3.390000E+02 6.400000E+00
3.914779E+01  5.965459E+01 2.353000E+02 6.317000E+00 4.749000E+00 6.800000E-01  8.050000E+01 0232+59  1.500000E+01 3.600000E+00
4.047927E+01  5.960423E+01 2.764000E+02 7.081000E+00 5.346000E+00 4.600000E-01  3.500000E+01 0238+59  2.000000E+00 3.400000E+00
4.420684E+01 -5.457629E+01 1.560000E+01 1.356600E+01 1.277900E+01 1.000000E+00  9.000000E+01 0255-54  5.780000E+02 5.400000E+00
5.670214E+01  6.809611E+01 3.720000E+02 5.982000E+00 4.879000E+00 7.800000E-01 -2.750000E+01 U2847    3.200000E+01 3.900000E+00
5.745602E+01 -7.163538E+01 3.350000E+01 1.169600E+01 1.090700E+01 8.240000E-01  8.550000E+01 0350-71  1.429000E+03 1.630000E+01
6.194545E+01  6.981243E+01 1.584000E+02 7.270000E+00 6.144000E+00 7.300000E-01  1.050000E+02 U2953    8.980000E+02 1.620000E+01
7.916167E+01 -3.710252E+01 5.900000E+01 1.059000E+01 9.515000E+00 2.400000E-01  7.600000E+01 0515-37  1.348000E+03 1.540000E+01
9.142652E+01 -8.663202E+01 8.820000E+01 9.537000E+00 8.195000E+00 2.200000E-01 -8.450000E+01 0621-86  1.870000E+03 2.240000E+01
9.187440E+01 -6.180758E+01 6.350000E+01 1.037400E+01 9.104000E+00 2.000000E-01  4.350000E+01 0607-61  1.205000E+03 1.350000E+01
9.411669E+01 -2.137585E+01 6.490000E+01 9.865000E+00 8.821000E+00 6.000000E-01 -5.750000E+01 N2207    2.680000E+03 3.330000E+01
1.195625E+02 -4.985141E+01 1.307000E+02 9.419000E+00 8.196000E+00 2.000000E-01 -2.550000E+01 0756-49  1.119000E+03 1.280000E+01
1.247707E+02  7.072003E+01 5.500000E+01 1.108300E+01 9.967000E+00 1.000000E+00 -1.500000E+01 U4305    1.580000E+02 4.500000E+00
1.465881E+02  3.071200E+00 3.480000E+01 1.124600E+01 1.014800E+01 3.600000E-01  7.000000E+01 U5224    1.941000E+03 2.840000E+01
1.488883E+02  6.906526E+01 4.876000E+02 4.854000E+00 3.926000E+00 5.100000E-01 -3.100000E+01 N3031   -4.300000E+01 1.400000E+00
1.489685E+02  6.967970E+01 2.273000E+02 5.881000E+00 4.691000E+00 3.200000E-01  6.750000E+01 N3034    2.100000E+02 5.200000E+00
1.499814E+02 -2.961780E+01 9.470000E+01 9.819000E+00 8.656000E+00 2.400000E-01  7.500000E+01 0957-29  2.477000E+03 3.290000E+01
1.522107E+02 -6.703085E+01 7.940000E+01 9.686000E+00 8.672000E+00 2.600000E-01  7.500000E+00 1007-66  1.375000E+03 1.670000E+01
1.542313E+02 -4.888107E+01 7.650000E+01 9.899000E+00 8.879000E+00 6.300000E-01  5.000000E+00 1014-48  2.742000E+03 3.510000E+01
1.570978E+02  6.841214E+01 2.250000E+01 1.309200E+01 1.248800E+01 1.000000E+00  9.000000E+01 U5666    3.800000E+01 2.700000E+00
1.581331E+02  5.440098E+01 2.220000E+01 1.161100E+01 1.071200E+01 8.400000E-01 -3.000000E+01 U5720    1.446000E+03 2.490000E+01
1.616906E+02  1.181994E+01 1.219000E+02 7.346000E+00 6.403000E+00 6.800000E-01 -4.500000E+01 N3368    8.990000E+02 8.100000E+00
1.619567E+02  1.258163E+01 1.080000E+02 7.268000E+00 6.362000E+00 8.500000E-01  6.750000E+01 N3379    8.810000E+02 8.100000E+00
1.669521E+02 -4.652607E+01 1.026000E+02 9.300000E+00 8.370000E+00 3.900000E-01 -3.900000E+01 1105-46  1.055000E+03 1.340000E+01
1.678790E+02  5.567412E+01 1.846000E+02 8.150000E+00 7.150000E+00 2.200000E-01  8.250000E+01 N3556    6.970000E+02 1.410000E+01
1.697332E+02  1.309221E+01 2.116000E+02 7.040000E+00 6.113000E+00 3.200000E-01 -8.500000E+00 N3623    8.060000E+02 7.300000E+00
1.793999E+02  5.337452E+01 1.426000E+02 8.048000E+00 7.139000E+00 5.600000E-01  3.800000E+01 N3992    1.051000E+03 1.700000E+01
1.825591E+02 -2.973681E+01 5.940000E+01 1.104200E+01 1.011300E+01 4.500000E-01 -5.500000E+00 1207-29  2.142000E+03 3.020000E+01
1.834512E+02  1.490047E+01 1.728000E+02 7.974000E+00 7.012000E+00 2.400000E-01 -3.000000E+01 N4192   -1.420000E+02 1.680000E+01
1.839417E+02  1.070025E+01 2.120000E+01 1.390400E+01 1.297900E+01 7.920000E-01 -2.650000E+01 U7279    1.978000E+03 1.680000E+01
1.847401E+02  4.730372E+01 2.639000E+02 6.512000E+00 5.598000E+00 4.900000E-01 -2.000000E+01 N4258    4.490000E+02 6.800000E+00
1.854790E+02  4.473590E+00 1.058000E+02 7.897000E+00 6.987000E+00 7.500000E-01  2.000000E+01 N4303    1.581000E+03 1.520000E+01
1.857287E+02  1.582238E+01 1.508000E+02 7.708000E+00 6.810000E+00 7.800000E-01 -7.250000E+01 N4321    1.590000E+03 1.680000E+01
1.862657E+02  1.288696E+01 1.150000E+02 7.260000E+00 6.347000E+00 9.200000E-01 -5.750000E+01 N4374    9.330000E+02 1.680000E+01
1.863502E+02  1.819108E+01 1.478000E+02 7.172000E+00 6.260000E+00 6.700000E-01  1.250000E+01 N4382    7.730000E+02 1.680000E+01
1.865492E+02  1.294597E+01 1.514000E+02 7.191000E+00 6.283000E+00 6.700000E-01 -5.500000E+01 N4406   -3.400000E+02 1.680000E+01
1.874450E+02  8.000410E+00 1.792000E+02 6.389000E+00 5.506000E+00 8.100000E-01 -1.750000E+01 N4472    9.440000E+02 1.680000E+01
1.875094E+02  1.363645E+01 8.200000E+01 8.255000E+00 7.364000E+00 9.000000E-01  4.000000E+01 N4477    1.263000E+03 1.680000E+01
1.877059E+02  1.239110E+01 1.360000E+02 6.826000E+00 5.904000E+00 8.600000E-01 -2.750000E+01 N4486    1.259000E+03 1.680000E+01
1.879967E+02  1.442041E+01 1.554000E+02 7.290000E+00 6.334000E+00 4.400000E-01 -4.000000E+01 N4501    2.285000E+03 1.680000E+01
