#         RA            DEC        r_k20fe      j_m_k20fe      k_m_k20fe           k_ba           k_pa                                                                                                         
   1.581590E+00   2.020294E+01   1.510000E+01   1.204800E+01   1.006300E+01   1.000000E+00  -3.000000E+01
   2.777550E+00  -1.210787E+01   1.720000E+01   1.132300E+01   1.011600E+01   9.600000E-01   2.750000E+01
   3.627580E+00  -7.167400E+00   3.380000E+01   1.103200E+01   9.988000E+00   5.500000E-01   8.550000E+01
   3.685830E+00  -7.345280E+00   5.260000E+01   9.752000E+00   8.771000E+00   7.000000E-01  -1.750000E+01
   6.692960E+00  -3.367724E+01   2.440000E+01   1.246000E+01   1.174000E+01   7.750000E-01  -4.300000E+01
   9.421280E+00  -3.371633E+01   1.130000E+01   1.368400E+01   1.277200E+01   1.000000E+00  -5.950000E+01
   1.069110E+01  -2.356160E+01   2.180000E+01   1.113000E+01   9.966000E+00   8.000000E-01   1.000000E+01
   1.339565E+01   1.269313E+01   1.260000E+01   1.218200E+01   1.019600E+01   1.000000E+00  -3.000000E+01
   1.417781E+01  -9.914070E+00   4.560000E+01   1.054500E+01   9.634000E+00   9.900000E-01  -3.000000E+01
   1.571465E+01  -6.561015E+01   9.760000E+01   1.023300E+01   9.152000E+00   1.600000E-01  -3.600000E+01
   2.114082E+01   1.731180E+00   5.700000E+01   9.797000E+00   8.783000E+00   8.100000E-01  -2.250000E+01
   2.119116E+01   9.994520E+00   6.890000E+01   1.045000E+01   9.389000E+00   1.400000E-01   3.300000E+01
   2.138085E+01   1.759030E+00   5.960000E+01   9.673000E+00   8.703000E+00   7.700000E-01   4.750000E+01
   2.342051E+01   4.492869E+01   4.130000E+01   1.047400E+01   9.462000E+00   6.000000E-01  -2.750000E+01
   2.735358E+01   2.199730E+01   5.080000E+01   9.821000E+00   8.759000E+00   3.800000E-01   8.050000E+01
   2.762853E+01   6.145210E+00   4.060000E+01   1.042800E+01   9.339000E+00   3.600000E-01  -7.650000E+01
   2.782320E+01   2.235797E+01   7.170000E+01   9.668000E+00   8.596000E+00   3.300000E-01  -7.750000E+01
   3.171457E+01   4.457291E+01   5.180000E+01   1.085400E+01   9.776000E+00   2.800000E-01  -2.250000E+01
   3.351505E+01   2.787717E+01   4.160000E+01   1.103700E+01   1.016100E+01   5.000000E-01   6.700000E+01
   3.616923E+01  -1.914203E+01   2.170000E+01   1.153500E+01   1.051100E+01   8.200000E-01   0.000000E+00
   3.865784E+01  -8.788060E+00   1.550000E+01   1.199200E+01   1.060800E+01   7.000000E-01   7.750000E+01
   4.291861E+01  -1.665077E+01   4.090000E+01   1.084000E+01   9.853000E+00   3.400000E-01   5.000000E+01
   4.379618E+01   5.190716E+01   4.550000E+01   1.078200E+01   9.656000E+00   3.400000E-01   1.000000E+01
   4.380111E+01  -1.838400E-01   5.090000E+01   1.028300E+01   9.197000E+00   4.400000E-01  -6.000000E+01
   4.421523E+01   5.891156E+01   7.750000E+01   1.097700E+01   9.453000E+00   4.000000E-01  -6.300000E+01
   4.530903E+01   4.489721E+01   6.330000E+01   8.585000E+00   7.547000E+00   7.500000E-01   2.050000E+01
   4.637880E+01   4.283542E+01   7.600000E+01   9.595000E+00   8.573000E+00   4.000000E-01  -6.050000E+01
   4.805966E+01  -1.048112E+01   7.900000E+01   9.989000E+00   8.900000E+00   1.800000E-01   7.000000E+01
   4.900312E+01  -2.427370E+00   3.280000E+01   1.066200E+01   9.684000E+00   8.500000E-01  -7.200000E+01
   5.211551E+01   4.015454E+01   2.240000E+01   1.167300E+01   1.054200E+01   3.900000E-01   7.750000E+01
   5.416282E+01  -2.090226E+01   3.500000E+01   1.082600E+01   9.892000E+00   5.600000E-01  -8.650000E+01
   5.529394E+01  -1.302810E+00   3.050000E+01   1.097400E+01   9.853000E+00   7.200000E-01  -5.000000E+01
   6.070106E+01   1.965730E+00   7.470000E+01   1.025800E+01   8.990000E+00   2.400000E-01   3.000000E+01
   6.309446E+01   5.546980E+00   2.990000E+01   1.126900E+01   9.905000E+00   4.600000E-01  -7.400000E+01
   6.909293E+01  -1.037630E+01   1.810000E+01   1.199900E+01   1.046700E+01   5.800000E-01  -2.500000E+00
   7.162399E+01   1.846091E+01   3.620000E+01   1.054400E+01   9.379000E+00   6.600000E-01  -3.000000E+01
   7.448602E+01  -1.257800E-01   6.650000E+01   1.027500E+01   9.104000E+00   1.800000E-01   5.700000E+01
   8.551990E+01   6.937838E+01   7.860000E+01   9.030000E+00   7.951000E+00   6.700000E-01   9.250000E+01
   9.411669E+01  -2.137585E+01   6.490000E+01   9.865000E+00   8.821000E+00   6.000000E-01  -5.750000E+01
   9.838961E+01   2.103710E+01   3.730000E+01   1.177600E+01   1.033100E+01   2.200000E-01  -5.700000E+01
   1.014700E+02  -1.821080E+01   5.420000E+01   1.009100E+01   9.167000E+00   7.000000E-01   2.950000E+01
   1.019288E+02  -2.675436E+01   9.580000E+01   8.706000E+00   7.702000E+00   6.900000E-01  -4.500000E+01
   1.109781E+02  -2.752906E+01   7.150000E+01   8.636000E+00   7.601000E+00   9.200000E-01  -3.000000E+01
   1.112565E+02  -3.249903E+01   5.590000E+01   1.131300E+01   1.022400E+01   2.000000E-01   7.800000E+01
   1.125339E+02  -2.201836E+01   7.130000E+01   1.133500E+01   9.826000E+00   4.000000E-01   2.250000E+01
   1.168919E+02  -4.145214E+01   9.570000E+01   8.993000E+00   7.941000E+00   2.400000E-01   1.650000E+01
   1.169669E+02  -1.874900E+01   8.100000E+01   1.009100E+01   8.900000E+00   2.200000E-01  -3.900000E+01
   1.215462E+02  -2.752841E+01   1.017000E+02   9.308000E+00   8.259000E+00   5.700000E-01  -3.000000E+01
   1.234885E+02   5.264795E+01   6.950000E+01   1.107000E+01   9.773000E+00   1.800000E-01  -7.000000E+01
   1.237486E+02  -3.086699E+01   9.640000E+01   8.198000E+00   7.231000E+00   7.500000E-01  -1.250000E+01
   1.244103E+02  -2.973071E+01   3.760000E+01   1.086800E+01   9.824000E+00   1.000000E+00   1.750000E+01
   1.253227E+02  -2.577506E+01   3.230000E+01   1.289400E+01   1.164900E+01   4.380000E-01   4.650000E+01
   1.293526E+02  -5.512374E+01   1.082000E+02   7.918000E+00   6.886000E+00   6.600000E-01  -8.350000E+01
   1.309087E+02   5.020554E+01   5.150000E+01   9.504000E+00   8.499000E+00   5.100000E-01  -4.750000E+01
   1.336354E+02  -3.293748E+01   6.590000E+01   9.761000E+00   8.712000E+00   4.400000E-01   6.450000E+01
   1.343692E+02  -3.926845E+01   8.050000E+01   8.543000E+00   7.368000E+00   8.800000E-01   1.500000E+01
