

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T09:58:42PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|BAS 2359+068 N055|  0.37850 |   7.22617 |G|127412| 0.425000 |    |19.0K|  0.000|1|0|2|0|0|0|0
2|BAS 2359+068 N013|  0.40750 |   7.20403 |G|106426| 0.355000 |    |19.0K|  0.000|1|0|2|0|0|0|0
3|BAS 2359+068 N011|  0.40904 |   7.23153 |G|248528| 0.829000 |    |19.0K|  0.000|1|0|2|0|0|0|0
4|NVSS J002112-321208|  5.30225 | -32.20244 |G|806442| 2.690000 |PRED|19.2K|  0.000|5|1|7|0|0|0|0
5|NVSS J002402-325253|  6.00958 | -32.88161 |G|612476| 2.043000 |    |19.0K|  0.000|8|1|11|0|0|0|0
6|GALEXMSC J003316.44-433131.7  |  8.31818 | -43.52551 |G|371953| 1.240700 |    |21.9R|  0.000|3|0|15|0|1|0|0
7|IRAC 244706|  8.32049 | -43.28518 |G|206557| 0.689000 |    |24.3R|  0.000|11|0|24|0|2|0|0
8|IRAC 249558|  8.38175 | -43.55368 |G|271192| 0.904600 |    |22.9R|  0.000|7|0|24|0|2|0|0
9|IRAC 213905|  8.50149 | -43.87810 |VisS|149896| 0.500000 |PHOT|22.0R|  0.000|3|0|12|0|1|0|0
10|IRAC 239812|  8.51105 | -43.31936 |G|224844| 0.750000 |PHOT|22.0R|  0.000|3|0|10|0|1|0|0
11|IRAC 203835|  8.76407 | -43.80129 |G|347759| 1.160000 |1LIN|21.7R|  0.000|3|0|11|0|1|0|0
12|IRAC 199500|  8.79023 | -43.65488 |G|354175| 1.181400 |    |21.1R|  0.000|5|0|15|0|2|0|1
13|IRAC 113635|  8.89603 | -43.14778 |G|726097| 2.422000 |1LIN|23.0R|  0.000|3|0|11|0|1|0|0
14|IRAC 192334|  8.94088 | -43.52666 |G|207456| 0.692000 |1LIN|23.5R|  0.000|4|0|11|0|1|0|0
15|IRAC 113494|  9.00964 | -43.28443 |G|321557| 1.072600 |    |23.7R|  0.000|4|0|12|0|2|0|0
16|IRAC 191432|  9.01248 | -43.57836 |G|496816| 1.657200 |1LIN|22.3R|  0.000|4|0|11|0|1|0|0
17|IRAC 110970|  9.06497 | -43.26164 |G|370244| 1.235000 |    |23.7R|  0.000|3|0|10|0|1|0|0
