

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T07:55:14PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|GALEXASC J000000.62-560826.6  |  0.00162 | -56.14106 |G|  3028| 0.010100 |    |18.09|  0.000|0|0|5|2|1|0|0
2|ESP 21617|  0.00680 | -39.51309 |G|  3222| 0.010747 |    |17.94|  0.000|2|0|1|1|1|0|0
3|UGC 12889|  0.00696 |  47.27479 |G|  5017| 0.016735 |    |13.4 |  0.000|25|1|18|6|5|7|0
4|KUG 2357+228|  0.01464 |  23.08753 |G|  4461| 0.014880 |    |16:  |  0.000|14|0|6|1|1|0|0
5|SDSS J000006.75-004653.8|  0.02815 |  -0.78162 |VisS|  5996| 0.020000 |PHOT|18.5R|  0.000|4|0|19|1|1|4|0
6|MCG -01-01-017|  0.04708 |  -5.15875 |G|  5669| 0.018910 |    |15.02|  0.000|12|0|13|1|2|3|0
7|CGCG 548-023|  0.05404 |  46.96514 |G|  5366| 0.017899 |    |14.8 |  0.000|12|0|11|3|3|4|0
8|CGCG 498-057|  0.05542 |  33.13417 |G|  5052| 0.016852 |    |15.4 |  0.000|7|0|5|4|2|0|0
9|SDSS J000013.77-004431.4|  0.05741 |  -0.74208 |G|  2998| 0.010000 |PHOT|21.2g|  0.000|1|0|21|1|1|4|0
10|2MFGC 00003|  0.05975 |  70.03300 |G|  4588| 0.015304 |    |11.9K|  0.000|8|0|15|0|0|2|0
11|GALEXASC J000017.22+272403.0  |  0.07208 |  27.40083 |G|  4654| 0.015524 |    |     |  0.000|3|0|5|0|2|0|0
12|GALEXASC J000019.31-315611.3  |  0.08050 | -31.93667 |G|  3687| 0.012300 |    |17.32|  0.000|3|0|5|2|1|0|0
