     RAJ2000     DEJ2000     Jmag     Kmag
       F10.6       F10.6     F6.3     F6.3
         deg         deg      mag      mag
    2.320330   89.680397   15.154   14.498
    2.506572   89.679520   14.334   13.535
    0.414183   89.715782   13.914   13.120
    0.413668   89.697563   13.937   13.037
    0.674765   89.749489   14.127   13.542
    0.932587   89.725365   14.017   13.278
    3.117949   89.707146   15.435   14.903
    4.744058   89.716087   17.917   15.212
    4.791975   89.695854   16.737   15.510
    0.061788   89.788094   16.229   15.497
    0.642204   89.791298   15.608   14.763
    2.946570   89.787216   16.296   14.666
    3.564368   89.803986   16.119   15.243
    3.790312   89.761917   18.498   15.230
    4.294840   89.798180   16.007   15.263
    1.450483   89.830254   18.519   15.023
    1.746177   89.851479   16.674   15.836
    4.857128   89.862091   18.544   15.169
    4.894737   89.868004   15.095   14.349
    1.542172   89.918373   14.937   14.293
    4.179159   89.905403   18.564   15.148
    7.822207   89.678680   16.131   15.520
    5.678228   89.738098   15.963   14.785
    6.623220   89.730476   14.504   13.899
    6.705563   89.717430   15.232   14.532
    7.068145   89.695351   15.048   16.530
    8.107167   89.700737   16.798   15.389
    8.187527   89.721077   16.716   17.098
    8.537488   89.733688   14.142   13.278
    8.871086   89.715775   17.826   15.200
    9.098077   89.748672   16.890   15.568
    5.046180   89.755295   15.928   14.894
    5.235197   89.776947   14.912   14.116
    6.384745   89.805481   14.718   14.382
    6.780817   89.783455   14.576   14.127
    7.412561   89.779198   18.513   16.696
    5.082878   89.869774   15.151   14.475
    6.861742   89.813789   18.365   15.130
    7.221416   89.817719   13.580   13.155
    9.658381   89.830917   17.133   15.687
    5.242645   89.882553   18.535   15.050
    5.777529   89.877678   15.509   14.666
    6.080597   89.878769   15.855   15.210
    7.358402   89.877342   16.926   15.734
    9.072010   89.932259   16.684   15.491
   14.052261   89.675797   15.730   14.814
   10.086045   89.694389   14.415   13.961
   12.299433   89.698532   17.008   15.259
   12.321284   89.690216   17.046   15.874
   12.611664   89.695641   16.236   15.195
   10.725187   89.761696   16.693   15.668
   12.566875   89.807571   17.435   15.703
   12.563080   89.751038   15.548   14.855
   12.667319   89.778397   16.213   14.990
   13.852270   89.754807   16.143   15.002
   12.043857   89.832428   15.379   14.287
   12.485027   89.854858   14.895   14.325
   12.513748   89.843567   15.094   14.646
   11.962849   89.880600   16.123   15.493
   10.439434   89.977051   15.360   14.606
   15.858567   89.683098   15.823   14.826
   15.560215   89.743263   15.863   14.837
   15.859824   89.699272   16.264   15.495
   16.039524   89.697014   16.664   15.355
   16.019219   89.732956   16.362   15.394
   16.595547   89.689079   16.032   15.372
   17.924951   89.722176   15.300   14.513
   18.972926   89.708366   18.587   16.344
   19.056312   89.691788   16.606   17.057
   19.191855   89.690651   16.433   17.070
   19.608632   89.688705   15.638   15.087
   19.625900   89.729362   16.669   15.052
   16.780456   89.767403   15.440   14.731
   17.624590   89.762489   14.124   13.549
   17.947761   89.780716   16.503   15.476
   19.098601   89.753502   16.678   15.353
   19.545917   89.817665   16.315   15.442
   16.002978   89.922852   16.616   17.052
   23.118798   89.669281   16.243   15.725
   24.179700   89.675499   16.149   15.299
   24.202564   89.674942   16.292   15.512
   24.961303   89.672188   16.405   15.909
   20.016251   89.688354   15.909   15.323
   22.422168   89.690071   17.102   15.360
   22.378109   89.749947   16.165   15.306
   23.227736   89.733421   15.855   14.630
   23.526234   89.711250   14.436   14.115
   23.792199   89.720306   14.140   13.592
   24.134199   89.710846   14.972   14.227
   24.534982   89.698341   15.154   14.562
   20.034379   89.792099   13.822   13.178
   20.361345   89.766174   16.497   16.782
   20.604376   89.801590   17.427   16.560
   21.033980   89.764214   15.910   15.577
   21.198822   89.756294   16.037   16.128
   22.424139   89.807564   15.697   15.267
   23.429613   89.792847   15.396   14.690
   24.139112   89.759926   16.030   14.912
   20.228913   89.829903   14.660   14.168
   20.485007   89.847443   17.888   17.097
   20.953475   89.858650   13.797   13.363
   23.686842   89.868454   15.774   14.846
   23.805853   89.828156   16.790   15.534
   20.870486   89.941452   15.926   14.998
   23.510793   89.977364   16.475   16.140
   27.581488   89.683456   15.460   14.719
   25.933286   89.699585   16.878   15.907
   26.758110   89.718735   16.578   14.823
   27.110250   89.720024   14.558   13.861
   27.348988   89.720947   15.382   14.952
   27.851505   89.695206   15.644   14.961
   29.664916   89.801109   16.243   15.599
   29.993377   89.756226   14.274   13.956
   25.005129   89.871735   15.922   15.280
   25.348608   89.814812   14.773   14.311
   26.063638   89.905479   14.788   13.745
   29.287132   89.909035   18.546   15.037
   25.986583   89.942993   14.129   13.803
   32.128475   89.748482   16.341   16.218
   33.204316   89.734314   14.654   13.732
   33.340307   89.687790   16.495   16.310
   30.523246   89.782097   16.638   15.339
   30.603690   89.796822   15.570   15.185
   33.514144   89.799950   16.055   15.364
   33.765276   89.754807   15.897   14.746
   30.009514   89.850891   18.262   16.787
   30.633133   89.893684   15.898   15.133
   32.572985   89.950096   16.701   16.531
   34.198013   89.957054   16.244   15.637
   39.904172   89.668137   15.787   15.112
   35.135514   89.701050   16.437   15.716
   38.410789   89.717072   15.074   14.469
   38.572195   89.698303   15.004   14.326
   38.643830   89.709412   16.187   15.085
   39.028885   89.691078   16.529   16.762
   39.231170   89.725487   14.633   14.141
   39.406906   89.688232   16.476   14.820
   35.260561   89.761307   16.912   15.411
   36.191167   89.781631   15.441   14.563
   38.145401   89.779861   15.801   14.446
   39.310395   89.783035   15.968   14.888
   39.546835   89.789810   15.538   14.896
   35.680455   89.913200   15.620   14.806
   35.776198   89.908752   18.659   15.232
   35.985422   89.885597   16.483   15.168
   37.600409   89.918365   15.522   14.947
   39.986419   89.875687   14.712   14.060
   40.132345   89.712227   16.096   14.843
   40.468539   89.700172   16.541   15.065
   40.571644   89.711731   15.372   14.702
   41.955968   89.693718   16.142   15.470
   42.751448   89.710152   16.793   15.697
   43.171343   89.706673   15.828   15.051
   44.092147   89.748169   15.090   14.700
   40.898765   89.801270   16.536   15.641
   41.698266   89.761627   14.502   14.082
   43.646684   89.793518   14.801   14.073
   43.973222   89.761322   16.166   15.289
   43.940201   89.784393   14.428   14.004
   44.191239   89.794502   16.489   16.603
   40.683084   89.820023   15.692   14.634
   42.479187   89.817993   14.229   13.952
   44.554944   89.820946   16.514   16.003
   40.582752   89.894585   15.873   14.775
   44.893098   89.947098   16.667   16.468
   45.118447   89.667099   13.720   13.305
   46.849540   89.682861   15.871   15.268
   46.327739   89.731888   15.165   14.479
   47.056174   89.695351   16.028   15.007
   47.438583   89.747131   15.527   14.966
   47.671940   89.688210   16.497   15.601
   48.814857   89.727936   15.534   15.060
   49.813751   89.689316   14.417   13.984
   45.543391   89.782387   16.764   15.258
   46.900998   89.754364   16.478   15.788
   47.671741   89.754089   16.335   14.630
   49.388199   89.762207   14.081   13.622
   49.675859   89.766907   16.257   15.900
   49.981493   89.792336   16.334   15.415
   47.589298   89.824982   14.809   13.782
   48.815560   89.851128   13.837   13.074
   48.890813   89.853294   14.961   14.165
   49.710186   89.869652   16.331   16.656
   46.414892   89.908554   16.768   17.110
   46.965178   89.911514   15.204   14.732
